                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9292,                 1.4839,                 2.0399,                0.85663,                0.73545,                0.84392,                0.34735,                 1.8181,                 1.1895,                 2.3131,              0.0007328,              0.0007328,              0.0007328
                     35,                  1.968,                 1.4435,                 2.0966,                0.76883,                0.75385,                0.82813,                 0.3475,                 2.0374,                 1.2172,                 2.4008,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.9195,                 1.4092,                 2.0336,                0.82659,                0.75385,                0.84565,                0.37949,                  1.886,                 1.2556,                 2.3334,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.8724,                 1.4322,                 2.0288,                0.86436,                0.76923,                0.84031,                0.37831,                 1.8978,                 1.8543,                  2.336,               0.000614,               0.000614,               0.000614
                     38,                 1.9115,                  1.424,                  2.007,                  0.864,                0.75385,                0.87609,                0.38806,                 1.6935,                 1.2798,                 2.2006,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.8324,                 1.4113,                 1.9761,                0.86706,                0.75385,                0.82907,                0.38757,                 1.6599,                 1.1323,                 2.1938,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.7817,                 1.3307,                 1.9179,                 0.8556,                0.73846,                0.85261,                0.38864,                 1.7804,                  1.167,                 2.2887,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.7258,                 1.4422,                 1.9643,                0.82443,                0.75385,                0.82917,                0.34975,                 1.8017,                 1.2104,                  2.262,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.7612,                 1.3377,                 1.9969,                0.84919,                    0.8,                0.87258,                0.39496,                 1.9876,                 1.2409,                 2.4326,               0.000416,               0.000416,               0.000416
                     43,                 1.6831,                 1.3068,                 1.9302,                 0.8285,                0.81755,                0.89232,                0.40153,                 1.8944,                 1.2413,                 2.3279,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.6757,                 1.2605,                 1.9213,                0.87861,                0.78462,                0.89846,                0.41413,                 1.7512,                  1.107,                 2.3076,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.6582,                 1.2402,                 1.9051,                0.92376,                0.81538,                0.90547,                0.41537,                 1.7593,                 1.0999,                 2.2867,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.6696,                 1.2274,                 1.9423,                0.88858,                0.84615,                0.91263,                0.44491,                 2.0585,                 1.1006,                 2.4801,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.6359,                 1.2264,                 1.8859,                0.90977,                0.77564,                0.90311,                0.41628,                 1.9322,                 1.1507,                 2.3232,               0.000218,               0.000218,               0.000218
                     48,                 1.6907,                 1.2004,                 1.9366,                0.88695,                0.84493,                  0.909,                0.43576,                 1.9219,                 1.2324,                  2.325,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.6723,                 1.1725,                 1.8951,                0.96172,                0.84615,                0.91898,                 0.4483,                 1.8281,                 1.1685,                 2.2619,              0.0001388,              0.0001388,              0.0001388
                     50,                  1.613,                 1.1661,                  1.917,                0.93422,                0.81538,                0.90201,                0.44902,                 1.6742,                 1.0954,                 2.1558,               9.92e-05,               9.92e-05,               9.92e-05
